issue_date,due_date,return_date,days_on_loan,overdue_status,book_id,book_title,genre,author,borrower_id,borrower_name,borrower_type,borrower_age_group,student_major,student_batch
2024-09-16,2024-10-04,,,Overdue,37,Meditations,Fiction,Author K,10011,Student 11,Student,21-23,History,2022
2024-01-03,2024-01-30,2024-01-26,23.0,Returned On Time,10,Crime and Punishment,Science,Author J,10024,Student 24,Student,21-23,Physics,2024
2023-06-05,2023-06-13,2023-06-13,8.0,Returned On Time,10,Crime and Punishment,Science,Author J,10007,Student 7,Student,21-23,Civil Engineering,2024
2024-06-11,2024-06-27,2024-06-27,16.0,Returned On Time,40,Brave New World,Philosophy,Author N,10032,Student 32,Student,18-20,English Literature,2023
2024-04-23,2024-05-20,2024-05-10,17.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10008,Student 8,Student,21-23,Mechanical Engineering,2022
2023-05-29,2023-06-21,2023-06-01,3.0,Returned On Time,10,Crime and Punishment,Science,Author J,10044,Student 44,Student,18-20,Civil Engineering,2023
2023-11-21,2023-12-03,2023-12-03,12.0,Returned On Time,39,The Tipping Point,History,Author M,10032,Student 32,Student,18-20,English Literature,2023
2023-07-30,2023-08-11,,,Overdue,34,Freakonomics,Computer Science,Author H,10043,Student 43,Student,24-25,Biology,2024
2023-03-20,2023-04-15,2023-03-31,11.0,Returned On Time,25,Calculus: Early Transcendentals,Science,Author Y,10010,Student 10,Student,21-23,Psychology,2024
2023-07-05,2023-07-21,2023-07-21,16.0,Returned On Time,2,1984,Science,Author B,10041,Student 41,Student,24-25,History,2023
2024-08-20,2024-09-10,2024-09-08,19.0,Returned On Time,10,Crime and Punishment,Science,Author J,10014,Student 14,Student,18-20,Chemistry,2022
2023-11-23,2023-12-12,2023-12-05,12.0,Returned On Time,18,The Elements of Style,History,Author R,10008,Student 8,Student,21-23,Mechanical Engineering,2022
2023-05-03,2023-05-22,2023-05-15,12.0,Returned On Time,46,Treasure Island,Economics,Author T,10035,Student 35,Student,18-20,Biology,2024
2024-01-20,2024-02-07,2024-02-07,18.0,Returned On Time,27,Abstract Algebra,Philosophy,Author A,10003,Student 3,Student,18-20,History,2023
2024-07-05,2024-07-19,2024-07-19,14.0,Returned On Time,8,Hamlet,Computer Science,Author H,10009,Student 9,Student,24-25,Sociology,2023
2024-03-15,2024-03-25,2024-03-25,10.0,Returned On Time,23,Machine Learning Yearning,Science,Author W,10034,Student 34,Student,21-23,Physics,2024
2024-02-29,2024-03-09,2024-03-09,9.0,Returned On Time,16,The Selfish Gene,Fiction,Author P,10030,Student 30,Student,18-20,History,2022
2023-04-21,2023-05-16,,,Overdue,23,Machine Learning Yearning,Science,Author W,10042,Student 42,Student,24-25,Mechanical Engineering,2022
2024-10-02,2024-10-26,2024-10-20,18.0,Returned On Time,29,Democracy in America,Mathematics,Author C,10004,Student 4,Student,24-25,Chemistry,2023
2023-02-11,2023-02-18,2023-02-18,7.0,Returned On Time,14,Cosmos,Mathematics,Author N,10043,Student 43,Student,24-25,Biology,2024
2024-05-27,2024-06-12,,,Overdue,4,Pride and Prejudice,Computer Science,Author D,10029,Student 29,Student,24-25,Economics,2024
2023-05-21,2023-06-05,2023-05-26,5.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10044,Student 44,Student,18-20,Civil Engineering,2023
2023-10-03,2023-10-26,2023-10-21,18.0,Returned On Time,22,Data Science for Business,Science,Author V,10002,Student 2,Student,21-23,Physics,2022
2023-05-10,2023-06-02,2023-05-17,7.0,Returned On Time,15,"Thinking, Fast and Slow",History,Author O,10003,Student 3,Student,18-20,History,2023
2024-03-08,2024-04-01,2024-03-21,13.0,Returned On Time,24,Deep Learning,Science,Author X,10017,Student 17,Student,21-23,Sociology,2024
2024-12-18,2025-01-11,2024-12-26,8.0,Returned On Time,2,1984,Science,Author B,10006,Student 6,Student,21-23,History,2022
2024-09-17,2024-10-13,2024-10-08,21.0,Returned On Time,35,The Structure of Scientific Revolutions,Computer Science,Author I,10004,Student 4,Student,24-25,Chemistry,2023
2023-04-15,2023-05-05,,,Overdue,24,Deep Learning,Science,Author X,10037,Student 37,Student,24-25,Sociology,2022
2024-09-18,2024-10-01,2024-09-25,7.0,Returned On Time,18,The Elements of Style,History,Author R,10020,Student 20,Student,18-20,Psychology,2023
2024-11-14,2024-12-11,2024-11-30,16.0,Returned On Time,45,Alice's Adventures in Wonderland,Computer Science,Author S,10027,Student 27,Student,21-23,English Literature,2022
2024-04-16,2024-05-05,2024-05-05,19.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10039,Student 39,Student,18-20,Mathematics,2022
2024-03-17,2024-04-01,2024-04-01,15.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10025,Student 25,Student,18-20,Computer Science,2022
2023-11-13,2023-12-03,2023-11-23,10.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10043,Student 43,Student,24-25,Biology,2024
2024-10-15,2024-10-25,2024-10-21,6.0,Returned On Time,36,The Art of War,Computer Science,Author J,10019,Student 19,Student,24-25,Psychology,2024
2024-04-01,2024-04-25,2024-04-15,14.0,Returned On Time,47,Sense and Sensibility,Economics,Author U,10009,Student 9,Student,24-25,Sociology,2023
2024-10-14,2024-11-10,2024-11-03,20.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10033,Student 33,Student,18-20,Economics,2022
2024-11-16,2024-12-02,,,Overdue,7,War and Peace,Computer Science,Author G,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2024-11-05,2024-11-24,,,Overdue,18,The Elements of Style,History,Author R,10013,Student 13,Student,18-20,Physics,2022
2024-11-04,2024-12-01,2024-11-23,19.0,Returned On Time,43,Frankenstein,Computer Science,Author Q,10007,Student 7,Student,21-23,Civil Engineering,2024
2023-03-20,2023-04-13,2023-03-31,11.0,Returned On Time,24,Deep Learning,Science,Author X,10001,Student 1,Student,18-20,Chemistry,2024
2023-08-16,2023-08-26,2023-08-26,10.0,Returned On Time,29,Democracy in America,Mathematics,Author C,10019,Student 19,Student,24-25,Psychology,2024
2023-08-18,2023-08-28,2023-08-28,10.0,Returned On Time,41,Fahrenheit 451,Philosophy,Author O,10043,Student 43,Student,24-25,Biology,2024
2023-03-22,2023-04-11,,,Overdue,30,The Republic,History,Author D,10035,Student 35,Student,18-20,Biology,2024
2024-08-11,2024-08-21,2024-08-21,10.0,Returned On Time,15,"Thinking, Fast and Slow",History,Author O,10002,Student 2,Student,21-23,Physics,2022
2023-02-13,2023-03-05,2023-03-05,20.0,Returned On Time,15,"Thinking, Fast and Slow",History,Author O,10036,Student 36,Student,24-25,Electrical Engineering,2023
2023-02-20,2023-03-19,,,Overdue,1,The Great Gatsby,Fiction,Author A,10002,Student 2,Student,21-23,Physics,2022
2024-11-04,2024-11-30,2024-11-10,6.0,Returned On Time,38,Outliers,History,Author L,10019,Student 19,Student,24-25,Psychology,2024
2023-11-11,2023-11-25,2023-11-25,14.0,Returned On Time,46,Treasure Island,Economics,Author T,10024,Student 24,Student,21-23,Physics,2024
2023-05-04,2023-05-30,,,Overdue,23,Machine Learning Yearning,Science,Author W,10012,Student 12,Student,18-20,Mathematics,2023
2024-08-18,2024-09-12,2024-09-07,20.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10043,Student 43,Student,24-25,Biology,2024
2023-12-29,2024-01-11,2024-01-01,3.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10050,Student 50,Student,18-20,History,2024
2023-07-02,2023-07-29,2023-07-07,5.0,Returned On Time,30,The Republic,History,Author D,10033,Student 33,Student,18-20,Economics,2022
2023-03-09,2023-03-16,,,Overdue,12,Dune,Science,Author L,10042,Student 42,Student,24-25,Mechanical Engineering,2022
2023-04-12,2023-04-22,2023-04-21,9.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10040,Student 40,Student,21-23,Mathematics,2023
2023-11-08,2023-12-03,2023-11-19,11.0,Returned On Time,48,Wuthering Heights,Computer Science,Author V,10050,Student 50,Student,18-20,History,2024
2024-04-08,2024-05-05,2024-04-26,18.0,Returned On Time,37,Meditations,Fiction,Author K,10020,Student 20,Student,18-20,Psychology,2023
2023-06-20,2023-07-16,2023-06-28,8.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2023-04-27,2023-05-04,2023-05-04,7.0,Returned On Time,38,Outliers,History,Author L,10003,Student 3,Student,18-20,History,2023
2023-08-12,2023-08-22,2023-08-18,6.0,Returned On Time,41,Fahrenheit 451,Philosophy,Author O,10022,Student 22,Student,24-25,Civil Engineering,2024
2023-04-24,2023-05-04,2023-05-04,10.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10024,Student 24,Student,21-23,Physics,2024
2023-04-16,2023-05-08,2023-05-08,22.0,Returned On Time,26,Linear Algebra Done Right,Mathematics,Author Z,10030,Student 30,Student,18-20,History,2022
2024-07-01,2024-07-26,2024-07-21,20.0,Returned On Time,18,The Elements of Style,History,Author R,10016,Student 16,Student,24-25,Mechanical Engineering,2024
2023-01-11,2023-02-05,2023-01-31,20.0,Returned On Time,46,Treasure Island,Economics,Author T,10039,Student 39,Student,18-20,Mathematics,2022
2024-06-23,2024-07-12,2024-07-10,17.0,Returned On Time,21,Introduction to Algorithms,Philosophy,Author U,10026,Student 26,Student,24-25,Electrical Engineering,2024
2023-05-15,2023-05-26,2023-05-20,5.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2024-02-05,2024-03-03,2024-02-25,20.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10007,Student 7,Student,21-23,Civil Engineering,2024
2023-09-27,2023-10-18,2023-10-09,12.0,Returned On Time,31,Microeconomics,Fiction,Author E,10014,Student 14,Student,18-20,Chemistry,2022
2023-12-12,2023-12-20,2023-12-20,8.0,Returned On Time,12,Dune,Science,Author L,10002,Student 2,Student,21-23,Physics,2022
2024-08-09,2024-08-23,2024-08-16,7.0,Returned On Time,19,Clean Code,Science,Author S,10011,Student 11,Student,21-23,History,2022
2023-03-01,2023-03-18,2023-03-18,17.0,Returned On Time,32,Macroeconomics,Economics,Author F,10033,Student 33,Student,18-20,Economics,2022
2024-07-23,2024-08-17,2024-07-26,3.0,Returned On Time,29,Democracy in America,Mathematics,Author C,10017,Student 17,Student,21-23,Sociology,2024
2023-08-21,2023-09-13,2023-09-07,17.0,Returned On Time,14,Cosmos,Mathematics,Author N,10018,Student 18,Student,21-23,Physics,2024
2024-04-01,2024-04-13,2024-04-13,12.0,Returned On Time,30,The Republic,History,Author D,10039,Student 39,Student,18-20,Mathematics,2022
2024-09-22,2024-10-12,2024-10-05,13.0,Returned On Time,9,The Odyssey,Philosophy,Author I,10014,Student 14,Student,18-20,Chemistry,2022
2023-03-03,2023-03-15,2023-03-15,12.0,Returned On Time,24,Deep Learning,Science,Author X,10006,Student 6,Student,21-23,History,2022
2024-07-22,2024-08-06,,,Overdue,40,Brave New World,Philosophy,Author N,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2023-08-02,2023-08-20,2023-08-12,10.0,Returned On Time,21,Introduction to Algorithms,Philosophy,Author U,10050,Student 50,Student,18-20,History,2024
2024-02-20,2024-03-07,2024-03-07,16.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10004,Student 4,Student,24-25,Chemistry,2023
2023-06-10,2023-06-19,,,Overdue,43,Frankenstein,Computer Science,Author Q,10018,Student 18,Student,21-23,Physics,2024
2024-09-14,2024-09-21,,,Overdue,25,Calculus: Early Transcendentals,Science,Author Y,10015,Student 15,Student,24-25,Computer Science,2024
2023-05-15,2023-05-25,2023-05-21,6.0,Returned On Time,49,Jane Eyre,History,Author W,10022,Student 22,Student,24-25,Civil Engineering,2024
2024-01-26,2024-02-16,2024-02-08,13.0,Returned On Time,6,Moby Dick,Computer Science,Author F,10021,Student 21,Student,21-23,Computer Science,2024
2023-03-26,2023-04-16,2023-03-29,3.0,Returned On Time,22,Data Science for Business,Science,Author V,10016,Student 16,Student,24-25,Mechanical Engineering,2024
2024-12-27,2025-01-18,2025-01-18,22.0,Returned On Time,28,The Federalist Papers,Computer Science,Author B,10016,Student 16,Student,24-25,Mechanical Engineering,2024
2024-06-26,2024-07-21,2024-07-01,5.0,Returned On Time,39,The Tipping Point,History,Author M,10031,Student 31,Student,24-25,Mechanical Engineering,2024
2024-01-04,2024-01-16,2024-01-12,8.0,Returned On Time,12,Dune,Science,Author L,10041,Student 41,Student,24-25,History,2023
2024-09-27,2024-10-07,2024-10-07,10.0,Returned On Time,45,Alice's Adventures in Wonderland,Computer Science,Author S,10015,Student 15,Student,24-25,Computer Science,2024
2023-11-25,2023-12-14,2023-12-13,18.0,Returned On Time,43,Frankenstein,Computer Science,Author Q,10030,Student 30,Student,18-20,History,2022
2024-04-04,2024-04-16,2024-04-16,12.0,Returned On Time,43,Frankenstein,Computer Science,Author Q,10041,Student 41,Student,24-25,History,2023
2023-12-24,2024-01-15,2023-12-29,5.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10008,Student 8,Student,21-23,Mechanical Engineering,2022
2024-11-30,2024-12-24,,,Overdue,4,Pride and Prejudice,Computer Science,Author D,10031,Student 31,Student,24-25,Mechanical Engineering,2024
2024-04-13,2024-05-08,2024-04-18,5.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10050,Student 50,Student,18-20,History,2024
2024-05-28,2024-06-09,2024-06-09,12.0,Returned On Time,8,Hamlet,Computer Science,Author H,10020,Student 20,Student,18-20,Psychology,2023
2023-07-10,2023-07-29,2023-07-29,19.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10041,Student 41,Student,24-25,History,2023
2023-08-28,2023-09-23,2023-09-01,4.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10012,Student 12,Student,18-20,Mathematics,2023
2023-09-08,2023-10-01,2023-09-28,20.0,Returned On Time,4,Pride and Prejudice,Computer Science,Author D,10027,Student 27,Student,21-23,English Literature,2022
2024-01-17,2024-02-02,2024-02-02,16.0,Returned On Time,19,Clean Code,Science,Author S,10033,Student 33,Student,18-20,Economics,2022
2024-10-01,2024-10-17,,,Overdue,9,The Odyssey,Philosophy,Author I,10026,Student 26,Student,24-25,Electrical Engineering,2024
2024-02-03,2024-02-16,2024-02-08,5.0,Returned On Time,14,Cosmos,Mathematics,Author N,10002,Student 2,Student,21-23,Physics,2022
2023-02-23,2023-03-06,2023-03-06,11.0,Returned On Time,46,Treasure Island,Economics,Author T,10035,Student 35,Student,18-20,Biology,2024
2023-07-15,2023-08-09,2023-07-20,5.0,Returned On Time,8,Hamlet,Computer Science,Author H,10050,Student 50,Student,18-20,History,2024
2023-03-09,2023-03-28,,,Overdue,5,The Catcher in the Rye,Mathematics,Author E,10027,Student 27,Student,21-23,English Literature,2022
2023-09-25,2023-10-02,2023-09-29,4.0,Returned On Time,12,Dune,Science,Author L,10046,Student 46,Student,18-20,English Literature,2024
2024-09-04,2024-09-21,2024-09-21,17.0,Returned On Time,25,Calculus: Early Transcendentals,Science,Author Y,10003,Student 3,Student,18-20,History,2023
2024-10-15,2024-11-09,2024-10-23,8.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10041,Student 41,Student,24-25,History,2023
2024-06-19,2024-07-15,2024-07-04,15.0,Returned On Time,18,The Elements of Style,History,Author R,10014,Student 14,Student,18-20,Chemistry,2022
2023-01-31,2023-02-19,2023-02-06,6.0,Returned On Time,19,Clean Code,Science,Author S,10005,Student 5,Student,21-23,Computer Science,2023
2023-12-04,2023-12-20,2023-12-09,5.0,Returned On Time,1,The Great Gatsby,Fiction,Author A,10050,Student 50,Student,18-20,History,2024
2024-07-31,2024-08-15,2024-08-15,15.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10043,Student 43,Student,24-25,Biology,2024
2024-07-13,2024-07-25,2024-07-25,12.0,Returned On Time,31,Microeconomics,Fiction,Author E,10037,Student 37,Student,24-25,Sociology,2022
2023-02-16,2023-02-23,2023-02-23,7.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10037,Student 37,Student,24-25,Sociology,2022
2023-06-16,2023-06-27,2023-06-24,8.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10033,Student 33,Student,18-20,Economics,2022
2024-05-30,2024-06-20,2024-06-15,16.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10001,Student 1,Student,18-20,Chemistry,2024
2024-01-14,2024-02-08,2024-01-19,5.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10021,Student 21,Student,21-23,Computer Science,2024
2023-04-23,2023-05-01,,,Overdue,19,Clean Code,Science,Author S,10013,Student 13,Student,18-20,Physics,2022
2023-01-01,2023-01-16,2023-01-05,4.0,Returned On Time,49,Jane Eyre,History,Author W,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2023-11-01,2023-11-21,,,Overdue,25,Calculus: Early Transcendentals,Science,Author Y,10042,Student 42,Student,24-25,Mechanical Engineering,2022
2024-06-26,2024-07-09,2024-07-06,10.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10008,Student 8,Student,21-23,Mechanical Engineering,2022
2023-02-13,2023-03-09,2023-02-28,15.0,Returned On Time,7,War and Peace,Computer Science,Author G,10026,Student 26,Student,24-25,Electrical Engineering,2024
2023-12-15,2023-12-31,2023-12-27,12.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10027,Student 27,Student,21-23,English Literature,2022
2024-04-22,2024-04-30,2024-04-30,8.0,Returned On Time,12,Dune,Science,Author L,10025,Student 25,Student,18-20,Computer Science,2022
2023-04-09,2023-05-04,2023-05-03,24.0,Returned On Time,14,Cosmos,Mathematics,Author N,10001,Student 1,Student,18-20,Chemistry,2024
2023-12-04,2023-12-20,2023-12-19,15.0,Returned On Time,46,Treasure Island,Economics,Author T,10040,Student 40,Student,21-23,Mathematics,2023
2023-07-21,2023-08-07,2023-07-25,4.0,Returned On Time,29,Democracy in America,Mathematics,Author C,10007,Student 7,Student,21-23,Civil Engineering,2024
2023-03-26,2023-04-20,2023-03-31,5.0,Returned On Time,47,Sense and Sensibility,Economics,Author U,10041,Student 41,Student,24-25,History,2023
2024-09-13,2024-09-23,,,Overdue,38,Outliers,History,Author L,10028,Student 28,Student,18-20,Mathematics,2024
2023-04-16,2023-05-13,2023-04-22,6.0,Returned On Time,36,The Art of War,Computer Science,Author J,10006,Student 6,Student,21-23,History,2022
2023-07-02,2023-07-17,2023-07-13,11.0,Returned On Time,26,Linear Algebra Done Right,Mathematics,Author Z,10036,Student 36,Student,24-25,Electrical Engineering,2023
2023-12-14,2024-01-03,2023-12-26,12.0,Returned On Time,8,Hamlet,Computer Science,Author H,10015,Student 15,Student,24-25,Computer Science,2024
2023-12-04,2023-12-23,2023-12-12,8.0,Returned On Time,42,The Hobbit,Science,Author P,10015,Student 15,Student,24-25,Computer Science,2024
2023-12-15,2023-12-31,2023-12-22,7.0,Returned On Time,31,Microeconomics,Fiction,Author E,10014,Student 14,Student,18-20,Chemistry,2022
2024-07-30,2024-08-14,2024-08-09,10.0,Returned On Time,23,Machine Learning Yearning,Science,Author W,10029,Student 29,Student,24-25,Economics,2024
2023-12-24,2024-01-20,2024-01-01,8.0,Returned On Time,32,Macroeconomics,Economics,Author F,10038,Student 38,Student,21-23,Civil Engineering,2024
2023-02-22,2023-03-19,2023-03-17,23.0,Returned On Time,47,Sense and Sensibility,Economics,Author U,10002,Student 2,Student,21-23,Physics,2022
2023-06-02,2023-06-21,2023-06-15,13.0,Returned On Time,2,1984,Science,Author B,10037,Student 37,Student,24-25,Sociology,2022
2024-02-04,2024-02-14,2024-02-14,10.0,Returned On Time,42,The Hobbit,Science,Author P,10026,Student 26,Student,24-25,Electrical Engineering,2024
2024-03-17,2024-04-12,2024-03-25,8.0,Returned On Time,27,Abstract Algebra,Philosophy,Author A,10021,Student 21,Student,21-23,Computer Science,2024
2023-09-15,2023-09-24,,,Overdue,21,Introduction to Algorithms,Philosophy,Author U,10003,Student 3,Student,18-20,History,2023
2023-05-06,2023-05-30,2023-05-20,14.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10003,Student 3,Student,18-20,History,2023
2024-08-11,2024-09-02,,,Overdue,6,Moby Dick,Computer Science,Author F,10025,Student 25,Student,18-20,Computer Science,2022
2024-05-02,2024-05-16,2024-05-16,14.0,Returned On Time,38,Outliers,History,Author L,10032,Student 32,Student,18-20,English Literature,2023
2024-03-09,2024-03-30,2024-03-25,16.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10007,Student 7,Student,21-23,Civil Engineering,2024
2024-10-12,2024-10-26,,,Overdue,49,Jane Eyre,History,Author W,10001,Student 1,Student,18-20,Chemistry,2024
2024-06-17,2024-06-28,2024-06-23,6.0,Returned On Time,36,The Art of War,Computer Science,Author J,10015,Student 15,Student,24-25,Computer Science,2024
2024-05-28,2024-06-04,2024-06-04,7.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10021,Student 21,Student,21-23,Computer Science,2024
2023-01-25,2023-02-14,,,Overdue,44,Dracula,Mathematics,Author R,10044,Student 44,Student,18-20,Civil Engineering,2023
2023-11-10,2023-11-22,,,Overdue,43,Frankenstein,Computer Science,Author Q,10050,Student 50,Student,18-20,History,2024
2024-01-04,2024-01-28,2024-01-20,16.0,Returned On Time,12,Dune,Science,Author L,10042,Student 42,Student,24-25,Mechanical Engineering,2022
2024-07-01,2024-07-18,2024-07-18,17.0,Returned On Time,7,War and Peace,Computer Science,Author G,10046,Student 46,Student,18-20,English Literature,2024
2023-08-23,2023-08-31,2023-08-31,8.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10029,Student 29,Student,24-25,Economics,2024
2024-06-09,2024-07-04,2024-06-26,17.0,Returned On Time,49,Jane Eyre,History,Author W,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2023-07-03,2023-07-22,2023-07-21,18.0,Returned On Time,4,Pride and Prejudice,Computer Science,Author D,10006,Student 6,Student,21-23,History,2022
2024-09-15,2024-09-29,2024-09-29,14.0,Returned On Time,27,Abstract Algebra,Philosophy,Author A,10040,Student 40,Student,21-23,Mathematics,2023
2024-03-02,2024-03-29,2024-03-12,10.0,Returned On Time,28,The Federalist Papers,Computer Science,Author B,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2024-07-07,2024-07-29,2024-07-28,21.0,Returned On Time,24,Deep Learning,Science,Author X,10042,Student 42,Student,24-25,Mechanical Engineering,2022
2023-04-09,2023-05-05,2023-04-15,6.0,Returned On Time,14,Cosmos,Mathematics,Author N,10001,Student 1,Student,18-20,Chemistry,2024
2023-10-01,2023-10-15,2023-10-15,14.0,Returned On Time,37,Meditations,Fiction,Author K,10004,Student 4,Student,24-25,Chemistry,2023
2024-07-16,2024-07-24,2024-07-24,8.0,Returned On Time,25,Calculus: Early Transcendentals,Science,Author Y,10032,Student 32,Student,18-20,English Literature,2023
2024-07-03,2024-07-27,2024-07-19,16.0,Returned On Time,10,Crime and Punishment,Science,Author J,10043,Student 43,Student,24-25,Biology,2024
2024-09-13,2024-10-05,2024-10-02,19.0,Returned On Time,31,Microeconomics,Fiction,Author E,10043,Student 43,Student,24-25,Biology,2024
2024-10-19,2024-11-05,2024-11-02,14.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10024,Student 24,Student,21-23,Physics,2024
2024-07-13,2024-08-09,2024-07-22,9.0,Returned On Time,4,Pride and Prejudice,Computer Science,Author D,10050,Student 50,Student,18-20,History,2024
2023-02-27,2023-03-18,2023-03-18,19.0,Returned On Time,39,The Tipping Point,History,Author M,10050,Student 50,Student,18-20,History,2024
2024-02-23,2024-03-21,2024-03-07,13.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10033,Student 33,Student,18-20,Economics,2022
2023-07-11,2023-08-06,2023-07-21,10.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10019,Student 19,Student,24-25,Psychology,2024
2023-12-07,2023-12-20,2023-12-19,12.0,Returned On Time,47,Sense and Sensibility,Economics,Author U,10009,Student 9,Student,24-25,Sociology,2023
2023-05-22,2023-05-30,2023-05-30,8.0,Returned On Time,15,"Thinking, Fast and Slow",History,Author O,10011,Student 11,Student,21-23,History,2022
2024-12-24,2025-01-20,2024-12-30,6.0,Returned On Time,2,1984,Science,Author B,10035,Student 35,Student,18-20,Biology,2024
2024-04-14,2024-04-24,2024-04-24,10.0,Returned On Time,1,The Great Gatsby,Fiction,Author A,10022,Student 22,Student,24-25,Civil Engineering,2024
2024-12-20,2025-01-04,2024-12-26,6.0,Returned On Time,9,The Odyssey,Philosophy,Author I,10024,Student 24,Student,21-23,Physics,2024
2024-08-19,2024-08-31,2024-08-31,12.0,Returned On Time,46,Treasure Island,Economics,Author T,10021,Student 21,Student,21-23,Computer Science,2024
2024-07-05,2024-07-14,2024-07-14,9.0,Returned On Time,40,Brave New World,Philosophy,Author N,10021,Student 21,Student,21-23,Computer Science,2024
2023-12-28,2024-01-11,,,Overdue,22,Data Science for Business,Science,Author V,10024,Student 24,Student,21-23,Physics,2024
2023-08-21,2023-09-03,2023-09-03,13.0,Returned On Time,38,Outliers,History,Author L,10016,Student 16,Student,24-25,Mechanical Engineering,2024
2023-01-15,2023-02-05,2023-02-01,17.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10001,Student 1,Student,18-20,Chemistry,2024
2023-12-20,2024-01-15,2024-01-05,16.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10017,Student 17,Student,21-23,Sociology,2024
2023-03-18,2023-04-14,2023-04-01,14.0,Returned On Time,14,Cosmos,Mathematics,Author N,10026,Student 26,Student,24-25,Electrical Engineering,2024
2024-01-29,2024-02-19,2024-02-09,11.0,Returned On Time,45,Alice's Adventures in Wonderland,Computer Science,Author S,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2023-10-12,2023-10-29,2023-10-27,15.0,Returned On Time,33,Nudge,Economics,Author G,10004,Student 4,Student,24-25,Chemistry,2023
2023-11-21,2023-12-14,,,Overdue,9,The Odyssey,Philosophy,Author I,10041,Student 41,Student,24-25,History,2023
2024-06-18,2024-07-12,2024-07-12,24.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10015,Student 15,Student,24-25,Computer Science,2024
2024-12-09,2024-12-24,2024-12-15,6.0,Returned On Time,31,Microeconomics,Fiction,Author E,10044,Student 44,Student,18-20,Civil Engineering,2023
2023-12-07,2023-12-30,2023-12-14,7.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10013,Student 13,Student,18-20,Physics,2022
2023-03-08,2023-03-21,2023-03-17,9.0,Returned On Time,18,The Elements of Style,History,Author R,10038,Student 38,Student,21-23,Civil Engineering,2024
2023-08-31,2023-09-22,2023-09-20,20.0,Returned On Time,49,Jane Eyre,History,Author W,10039,Student 39,Student,18-20,Mathematics,2022
2024-12-20,2025-01-04,2024-12-30,10.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10044,Student 44,Student,18-20,Civil Engineering,2023
2023-07-08,2023-07-24,2023-07-17,9.0,Returned On Time,2,1984,Science,Author B,10027,Student 27,Student,21-23,English Literature,2022
2024-10-07,2024-10-20,2024-10-10,3.0,Returned On Time,30,The Republic,History,Author D,10008,Student 8,Student,21-23,Mechanical Engineering,2022
2023-04-10,2023-04-24,,,Overdue,17,A Brief History of Time,Philosophy,Author Q,10009,Student 9,Student,24-25,Sociology,2023
2024-11-05,2024-11-23,2024-11-17,12.0,Returned On Time,2,1984,Science,Author B,10028,Student 28,Student,18-20,Mathematics,2024
